state,date,gdp_millions
CA,2018-01-01,2899530.9
CA,2019-01-01,3068629.7
CA,2020-01-01,3072927.6
CA,2021-01-01,3418256.1
CA,2022-01-01,3618289.7
CA,2023-01-01,3827007.3
CA,2024-01-01,4048108.1
TX,2018-01-01,1808026.9
TX,2019-01-01,1864872.3
TX,2020-01-01,1810670.2
TX,2021-01-01,2117013.7
TX,2022-01-01,2476903.2
TX,2023-01-01,2637237.6
TX,2024-01-01,2769766.2
FL,2018-01-01,1072085.6
FL,2019-01-01,1133718.0
FL,2020-01-01,1144653.2
FL,2021-01-01,1300807.8
FL,2022-01-01,1473688.1
FL,2023-01-01,1624642.3
FL,2024-01-01,1726709.9
NY,2018-01-01,1710665.6
NY,2019-01-01,1787470.9
NY,2020-01-01,1782502.4
NY,2021-01-01,1934524.0
NY,2022-01-01,2071075.2
NY,2023-01-01,2182549.0
NY,2024-01-01,2322138.9
PA,2018-01-01,780620.7
PA,2019-01-01,802233.1
PA,2020-01-01,778297.2
PA,2021-01-01,844875.5
PA,2022-01-01,916861.7
PA,2023-01-01,966444.0
PA,2024-01-01,1007873.9
IL,2018-01-01,871024.2
IL,2019-01-01,895601.8
IL,2020-01-01,860807.8
IL,2021-01-01,947223.9
IL,2022-01-01,1037735.9
IL,2023-01-01,1100794.1
IL,2024-01-01,1148106.1
OH,2018-01-01,672540.1
OH,2019-01-01,702914.8
OH,2020-01-01,692938.3
OH,2021-01-01,764161.4
OH,2022-01-01,830498.8
OH,2023-01-01,883957.1
OH,2024-01-01,923140.6
GA,2018-01-01,612803.4
GA,2019-01-01,646695.8
GA,2020-01-01,638488.3
GA,2021-01-01,706004.6
GA,2022-01-01,785922.7
GA,2023-01-01,835755.3
GA,2024-01-01,881508.2
NC,2018-01-01,568037.3
NC,2019-01-01,592449.6
NC,2020-01-01,600226.9
NC,2021-01-01,660804.7
NC,2022-01-01,729761.9
NC,2023-01-01,794838.0
NC,2024-01-01,844209.0
MI,2018-01-01,525240.8
MI,2019-01-01,540237.3
MI,2020-01-01,530161.3
MI,2021-01-01,573329.4
MI,2022-01-01,624173.2
MI,2023-01-01,676030.8
MI,2024-01-01,702466.9
WA,2018-01-01,570337.8
WA,2019-01-01,608643.4
WA,2020-01-01,617739.1
WA,2021-01-01,683367.0
WA,2022-01-01,741002.8
WA,2023-01-01,801455.5
WA,2024-01-01,856013.6
AZ,2018-01-01,353671.0
AZ,2019-01-01,375376.7
AZ,2020-01-01,390503.2
AZ,2021-01-01,438136.0
AZ,2022-01-01,488722.2
AZ,2023-01-01,530105.0
AZ,2024-01-01,570088.6
MA,2018-01-01,559605.0
MA,2019-01-01,588069.5
MA,2020-01-01,592855.5
MA,2021-01-01,650308.8
MA,2022-01-01,696323.1
MA,2023-01-01,737867.4
MA,2024-01-01,778523.4
TN,2018-01-01,369713.2
TN,2019-01-01,385833.0
TN,2020-01-01,391588.6
TN,2021-01-01,443419.7
TN,2022-01-01,490587.0
TN,2023-01-01,531246.8
TN,2024-01-01,561201.2
CO,2018-01-01,373923.1
CO,2019-01-01,397843.6
CO,2020-01-01,396981.1
CO,2021-01-01,445781.3
CO,2022-01-01,499197.4
CO,2023-01-01,533268.6
CO,2024-01-01,557633.0
MN,2018-01-01,372439.2
MN,2019-01-01,384850.2
MN,2020-01-01,378969.4
MN,2021-01-01,416141.9
MN,2022-01-01,457393.8
MN,2023-01-01,483222.0
MN,2024-01-01,507687.8
WI,2018-01-01,335144.3
WI,2019-01-01,346906.6
WI,2020-01-01,344691.0
WI,2021-01-01,368997.3
WI,2022-01-01,403570.3
WI,2023-01-01,431913.9
WI,2024-01-01,453298.6
IN,2018-01-01,377376.9
IN,2019-01-01,384838.7
IN,2020-01-01,378293.0
IN,2021-01-01,425270.9
IN,2022-01-01,467679.6
IN,2023-01-01,496849.5
IN,2024-01-01,519516.5
MO,2018-01-01,320451.6
MO,2019-01-01,334750.2
MO,2020-01-01,335970.8
MO,2021-01-01,366193.1
MO,2022-01-01,397536.9
MO,2023-01-01,428887.3
MO,2024-01-01,448713.7
NJ,2018-01-01,619340.2
NJ,2019-01-01,643317.7
NJ,2020-01-01,632562.3
NJ,2021-01-01,693733.8
NJ,2022-01-01,756465.6
NJ,2023-01-01,806894.0
NJ,2024-01-01,846000.4
