state,date,population_thousands
CA,2018-01-01,39437.463
CA,2019-01-01,39437.61
CA,2020-01-01,39521.958
CA,2021-01-01,39142.565
CA,2022-01-01,39142.414
CA,2023-01-01,39198.693
CA,2024-01-01,39431.263
TX,2018-01-01,28624.564
TX,2019-01-01,28986.794
TX,2020-01-01,29239.57
TX,2021-01-01,29570.351
TX,2022-01-01,30113.488
TX,2023-01-01,30727.89
TX,2024-01-01,31290.831
FL,2018-01-01,21254.926
FL,2019-01-01,21492.056
FL,2020-01-01,21592.035
FL,2021-01-01,21831.949
FL,2022-01-01,22379.312
FL,2023-01-01,22904.868
FL,2024-01-01,23372.215
NY,2018-01-01,19544.098
NY,2019-01-01,19463.131
NY,2020-01-01,20105.171
NY,2021-01-01,19848.276
NY,2022-01-01,19703.747
NY,2023-01-01,19737.367
NY,2024-01-01,19867.248
PA,2018-01-01,12809.107
PA,2019-01-01,12798.883
PA,2020-01-01,12996.143
PA,2021-01-01,13015.571
PA,2022-01-01,12984.99
PA,2023-01-01,13017.721
PA,2024-01-01,13078.751
IL,2018-01-01,12724.685
IL,2019-01-01,12667.017
IL,2020-01-01,12799.088
IL,2021-01-01,12700.641
IL,2022-01-01,12621.821
IL,2023-01-01,12642.259
IL,2024-01-01,12710.158
OH,2018-01-01,11680.892
OH,2019-01-01,11696.507
OH,2020-01-01,11798.905
OH,2021-01-01,11767.344
OH,2022-01-01,11777.874
OH,2023-01-01,11824.034
OH,2024-01-01,11883.304
GA,2018-01-01,10519.389
GA,2019-01-01,10628.02
GA,2020-01-01,10732.888
GA,2021-01-01,10792.06
GA,2022-01-01,10931.805
GA,2023-01-01,11064.432
GA,2024-01-01,11180.878
NC,2018-01-01,10391.358
NC,2019-01-01,10501.384
NC,2020-01-01,10449.652
NC,2021-01-01,10564.32
NC,2022-01-01,10710.793
NC,2023-01-01,10881.189
NC,2024-01-01,11046.024
MI,2018-01-01,9987.286
MI,2019-01-01,9984.795
MI,2020-01-01,10072.703
MI,2021-01-01,10041.351
MI,2022-01-01,10050.877
MI,2023-01-01,10083.356
MI,2024-01-01,10140.459
WA,2018-01-01,7526.793
WA,2019-01-01,7614.024
WA,2020-01-01,7727.209
WA,2021-01-01,7743.76
WA,2022-01-01,7794.123
WA,2023-01-01,7857.32
WA,2024-01-01,7958.18
AZ,2018-01-01,7164.228
AZ,2019-01-01,7291.843
AZ,2020-01-01,7187.135
AZ,2021-01-01,7274.078
AZ,2022-01-01,7377.566
AZ,2023-01-01,7473.027
AZ,2024-01-01,7582.384
MA,2018-01-01,6885.72
MA,2019-01-01,6894.883
MA,2020-01-01,6994.598
MA,2021-01-01,7000.474
MA,2022-01-01,7022.468
MA,2023-01-01,7066.568
MA,2024-01-01,7136.171
TN,2018-01-01,6778.18
TN,2019-01-01,6830.325
TN,2020-01-01,6927.904
TN,2021-01-01,6965.74
TN,2022-01-01,7062.217
TN,2023-01-01,7148.304
TN,2024-01-01,7227.75
CO,2018-01-01,5697.155
CO,2019-01-01,5758.486
CO,2020-01-01,5787.129
CO,2021-01-01,5814.036
CO,2022-01-01,5850.935
CO,2023-01-01,5901.339
CO,2024-01-01,5957.493
MN,2018-01-01,5608.762
MN,2019-01-01,5640.053
MN,2020-01-01,5710.735
MN,2021-01-01,5718.66
MN,2022-01-01,5721.621
MN,2023-01-01,5753.048
MN,2024-01-01,5793.151
WI,2018-01-01,5809.319
WI,2019-01-01,5824.581
WI,2020-01-01,5897.375
WI,2021-01-01,5881.608
WI,2022-01-01,5903.975
WI,2023-01-01,5930.405
WI,2024-01-01,5960.975
IN,2018-01-01,6698.481
IN,2019-01-01,6731.01
IN,2020-01-01,6790.497
IN,2021-01-01,6815.907
IN,2022-01-01,6844.545
IN,2023-01-01,6880.131
IN,2024-01-01,6924.275
MO,2018-01-01,6125.986
MO,2019-01-01,6140.475
MO,2020-01-01,6154.744
MO,2021-01-01,6171.374
MO,2022-01-01,6179.414
MO,2023-01-01,6208.038
MO,2024-01-01,6245.466
NJ,2018-01-01,8891.73
NJ,2019-01-01,8891.258
NJ,2020-01-01,9272.794
NJ,2021-01-01,9270.541
NJ,2022-01-01,9295.227
NJ,2023-01-01,9379.642
NJ,2024-01-01,9500.851
